,ds,yhat,yhat_lower,yhat_upper
0,2020-12-01,235.33622615599734,167.12956487240314,294.37083729492156
1,2020-12-02,257.192001845301,193.7310677216766,319.45163187674075
2,2020-12-03,250.96901402321132,188.77456696134996,315.69600841231306
3,2020-12-04,239.45401023001207,169.8976518615643,302.614666276056
4,2020-12-07,237.46972570369041,175.63115308366747,295.91432217239185
5,2020-12-08,233.00615260585292,172.89941041772826,299.99326971511914
6,2020-12-09,252.18213853985685,184.73862627573493,319.78013955902884
7,2020-12-10,243.32260197477882,180.16342734699538,304.40580921045336
8,2020-12-11,229.22752085020252,168.71120616871212,295.2197223748466
9,2020-12-14,220.3368771259536,159.95007520452577,283.7048105498198
10,2020-12-15,214.08093076997173,153.0419255873154,283.7294112847789
11,2020-12-16,231.7459082963651,169.91580977424513,299.23608804331224
12,2020-12-17,221.81575669406686,164.42584552096562,286.3098240521743
13,2020-12-18,207.06889920895082,143.26154302462035,268.62684459026497
14,2020-12-21,198.74436110259404,139.1632964841412,260.8215956807752
15,2020-12-22,193.5503207042884,131.36215864598213,259.93072296833304
16,2020-12-23,212.6279914735974,149.0339699590802,277.5083681221452
17,2021-01-04,204.0681823782455,140.63270194659577,269.3508046178409
18,2021-01-05,203.85087640837838,141.85386383967358,262.56843215142464
19,2021-01-06,227.50540865320733,167.11416834830064,293.4443220470548
20,2021-01-07,223.75055069536288,160.34357312528192,287.4448705393962
21,2021-01-08,215.08708105470885,148.2714133293464,274.2042336097148
22,2021-01-11,222.90275850632327,160.2910975727904,284.88488893589437
23,2021-01-12,222.16363750086,156.33596073456744,286.0164292054126
24,2021-01-13,244.92762632439297,178.7237539863633,306.8374788575885
25,2021-01-14,240.0684837015858,179.47033124274822,304.5202671738234
26,2021-01-15,230.07607182292358,162.89394184484925,293.98108261409806
27,2021-01-18,232.87843914777932,166.29561227299465,298.5845268928806
28,2021-01-19,230.32427943396678,164.9142163768065,291.96987226420873
29,2021-01-20,251.22349395461165,190.27098118691904,314.31674162065275
30,2021-01-21,244.61377466222888,182.11593990574812,305.29157244111497
31,2021-01-22,232.9730951007609,173.25426635961273,296.4619009224204
32,2021-01-25,231.61483775256843,167.9167515826196,296.73127979546604
33,2021-01-26,228.0409367750513,161.70154331909794,289.71810966553755
34,2021-01-27,248.0625712720493,183.26554906959578,311.9897832271911
35,2021-01-28,240.83683310893056,168.92656936060672,299.4477929931924
36,2021-01-29,228.77948431896087,169.67717970732053,288.8904919357606
37,2021-02-01,227.03929356548267,161.1321379272215,289.808259921199
38,2021-02-02,223.57444917353718,158.72074245738943,288.0334470683036
39,2021-02-03,243.7128783655715,179.35234431060306,305.12483807280216
40,2021-02-04,236.69304574091075,170.33333994961328,298.8539378470128
41,2021-02-05,224.8457726768294,164.84918757644627,285.17587309531655
42,2021-02-08,223.29468579189412,161.78579570354404,284.4450062467427
43,2021-02-09,219.68963500157844,155.88892947537855,281.6007769754856
44,2021-02-10,239.49624256779185,178.58503442151533,302.52617599079707
45,2021-02-11,232.0600783162682,171.48823224768833,293.798034142642
46,2021-02-12,219.65741082713342,158.811367449743,281.5433937162651
47,2021-02-15,215.53912450311802,158.9669371562017,280.1412124107914
48,2021-02-16,210.87303771940756,153.78506340699127,270.75163064492386
49,2021-02-17,229.5052309983674,165.89624365689497,291.6070978796014
50,2021-02-18,220.93472712145075,160.10915904649988,279.0845186318223
51,2021-02-19,207.42651774027817,142.5410425916887,270.53074624487215
52,2021-02-22,200.45334141267574,140.64788211107836,260.74271237897125
53,2021-02-23,195.16846088751933,128.0154639084219,257.59758157970566
54,2021-02-24,213.35868102775058,144.01153852595527,272.36531566405694
55,2021-02-25,204.67526565241135,140.2936630170032,267.23857308870663
56,2021-02-26,191.361044439666,130.95771395612508,254.33535527588083
57,2021-03-01,186.85038914061641,122.5965520085352,253.47379239694587
58,2021-03-02,183.06599591452812,122.20109515797819,245.0818866797122
59,2021-03-03,203.02575988893395,142.1906187807982,265.9160813080064
60,2021-03-04,196.47628839018242,134.34089752313537,255.46378078211438
61,2021-03-05,185.5780281281049,124.35622778826625,249.38539118785982
62,2021-03-08,189.43094729288887,127.12428668892032,249.82462577034738
63,2021-03-09,188.66206313418846,119.28705416960756,250.209105617914
64,2021-03-10,211.59215119095478,147.14401166761212,272.3024402432576
65,2021-03-11,208.0198560563094,146.22187768033774,278.1357410063571
66,2021-03-12,199.98839268053786,137.64377362619797,268.49550348495154
67,2021-03-15,211.00412126572684,152.28597890387115,270.5297962567707
68,2021-03-16,211.98798028657976,148.29623680223062,274.82688251961764
69,2021-03-17,236.38863073345829,177.91696963173104,294.87281990328046
70,2021-03-18,233.91214879295163,171.36696800691746,299.99612810477333
71,2021-03-19,226.51487520736083,162.76893083612396,289.2791813840761
72,2021-03-22,236.5957874004072,174.26864477097848,301.33554171783965
73,2021-03-23,236.35012198445295,173.89800051066354,301.0209205095116
74,2021-03-24,259.0117133211814,194.30021605298762,319.7331597740782
75,2021-03-25,254.34259980209072,196.76196968700788,318.19190235332223
76,2021-03-26,244.40894261325943,183.39008830586897,310.4661545505495
77,2021-03-29,245.59880209513574,182.99796429583563,309.48841557298357
78,2021-03-30,242.15422741809928,179.01515654516555,302.7519097505091
79,2021-04-06,229.8051284248413,169.3242193461581,293.9041893058793
80,2021-04-07,248.12135941567925,187.75902775697367,314.4881348120216
81,2021-04-08,239.4931902630534,177.4347873971479,303.5387583689171
82,2021-04-09,226.19326021048937,166.61857534808152,290.4010785325285
83,2021-04-12,221.7903621624602,158.7278970983996,283.7465559869668
84,2021-04-13,218.01511636649514,154.5052903321599,285.25373608769314
85,2021-04-14,238.12755859435103,176.92569783095126,298.2890968546025
86,2021-04-15,231.52611997764953,169.2570295270928,295.46119183039866
87,2021-04-16,220.48446267339034,159.211309877954,282.6038178159711
88,2021-04-19,223.74623216050176,158.13617919836227,287.968881568941
89,2021-04-20,222.54742768378904,155.76534336836312,283.37001228764683
90,2021-04-21,245.19684959012812,180.1003239517813,310.48115050937673
91,2021-04-22,240.88916775714165,175.56575995999535,306.6246120567095
92,2021-04-23,231.89699067181007,168.7029248272353,294.2470951856742
93,2021-04-26,239.5094688170098,174.76869206066922,301.35535107627396
94,2021-04-27,239.00110288948008,176.87308615890268,302.6581105778826
95,2021-04-28,261.99399343560617,197.9997661940974,325.83372063565724
96,2021-04-29,257.5416406270045,192.75210712166273,318.5330138344899
97,2021-04-30,247.9843178906328,185.30615855034168,314.1058658335683
98,2021-05-03,251.78503166084482,190.48210112096072,313.63512061951303
99,2021-05-04,249.3892316465318,192.9776892789402,309.5102359733904
100,2021-05-05,270.33814869192423,202.14098911721695,335.4363843119271
101,2021-05-06,263.60805350917803,197.7832863370495,329.37905894175645
102,2021-05-07,251.6733965396803,187.23754923045752,316.12800092885345
103,2021-05-10,248.5157030974954,185.58526106673736,311.837413531746
104,2021-05-11,244.0338645713947,183.49131321168878,308.09914566101713
105,2021-05-12,263.18562203070115,203.65354006730928,323.3842381806107
106,2021-05-14,241.59715988591205,175.77216646628924,303.3573244138492
107,2021-05-18,232.4879038312459,167.27386790863684,297.67745013833456
108,2021-05-19,252.2999201175847,188.64725148521902,314.55246807758823
109,2021-05-20,244.9102812382644,179.99270554271786,312.77182581174515
110,2021-05-21,232.93053887339505,164.20743175413503,297.77580545724703
111,2021-05-25,231.6153105384708,167.3770357610455,294.95285084426905
112,2021-05-26,253.8200802660146,191.8407502349527,317.6064408103313
113,2021-05-27,248.77431347897897,184.64377275494888,311.5460834296103
114,2021-05-28,239.0931087927561,175.91745124028773,304.6592808501213
115,2021-05-31,246.02951454983966,178.6937893665985,308.490358933274
116,2021-06-01,245.59073915449284,184.97002379835476,308.5412999512623
117,2021-06-02,269.1709614559481,202.85071800286883,331.2700646671807
118,2021-06-03,265.07839427485294,201.01338804642836,325.9946352614189
119,2021-06-04,255.9655771195999,197.92657154489237,319.5683461021621
120,2021-06-07,262.324845934951,198.10643004787815,325.14369011252916
121,2021-06-08,260.88017500801675,197.20849006940344,321.7008184284362
122,2021-06-09,283.1387584568449,219.22802029020272,343.6113912875935
123,2021-06-10,277.279094044444,217.0484873593555,342.6832957553166
124,2021-06-11,266.04868006154,206.5095529943046,328.46672648326825
125,2021-06-14,264.50563364718914,197.83075386070198,325.556043644144
126,2021-06-15,260.00848865558334,194.76524230991416,318.66228617196083
127,2021-06-16,279.1560343237601,216.71637485812502,338.93251112241205
128,2021-06-17,270.021837591704,206.27771159293147,335.8715912838618
129,2021-06-18,255.46527733801307,195.49444957957877,319.1123521569807
130,2021-06-21,244.23924617301824,179.3961882738282,305.9891356741404
131,2021-06-22,236.6914052704616,170.28791341434658,295.927590732818
132,2021-06-23,253.0012260226357,191.47637424804452,313.00651825642757
133,2021-06-24,241.11366474360617,177.1491749647837,303.5928140082224
134,2021-06-25,223.9724127782992,160.52724956445127,288.1841147773531
135,2021-06-28,206.29993231580036,142.80208299634532,268.4015452460589
136,2021-06-29,196.9175323470604,137.32925893362673,260.7030910796402
137,2021-06-30,211.65671774692103,149.56898436411927,278.3958000753681
138,2021-07-01,198.3472821661785,131.82541441477883,261.2476159020404
139,2021-07-02,179.990431703684,114.4621029425172,241.28559663317358
140,2021-07-05,159.89488881891936,101.0017177240319,219.27602209601142
141,2021-07-06,150.1770037007935,83.46657464856959,216.3225389544607
142,2021-07-07,164.74787176181084,102.32210726679793,230.0611261614605
143,2021-07-08,151.46120257902663,86.3896545332815,213.92178863540877
144,2021-07-09,133.31157484800414,71.90415449186006,195.5513908930766
145,2021-07-12,114.98977228878819,50.78443211859569,179.5670052224595
146,2021-07-13,106.28981473356276,41.184426415734585,169.65533529055105
147,2021-07-15,110.3205388404726,47.33611133741568,167.54772971555425
148,2021-07-19,82.6256709169615,20.174064207297747,145.05522730865334
149,2021-07-22,87.65547147232984,24.92183387536127,147.57199659294693
150,2021-07-27,75.74678482851877,12.983530352540592,138.0841367505752
151,2021-08-02,105.04428527963213,44.70792443018599,171.41923157572086
152,2021-08-04,136.65061799309015,76.1598095465646,204.13126966501153
153,2021-08-05,137.26221597583313,72.87076004656085,197.62494761683854
154,2021-08-06,133.2077368445033,70.27988923947076,199.05094678718186
155,2021-08-09,157.07307667467333,94.46499574484966,220.7726801680911
156,2021-08-10,162.02029332970372,98.91205666021749,227.50684464123597
157,2021-08-11,191.0187818000292,131.36627594885485,252.936418120119
158,2021-08-12,191.92782427811116,128.71465075598303,253.6159497676787
159,2021-08-13,187.58506940539706,123.99941087933988,247.46168347710045
160,2021-08-16,207.2167063158921,147.51585881751288,272.30589645313574
161,2021-08-17,209.7458699688148,145.37645086362267,276.05669653863794
162,2021-08-18,235.88993709035304,176.1606859705103,300.1890097775855
163,2021-08-19,233.590395847878,173.12443613782028,293.6552284088507
164,2021-08-20,225.74032276631084,161.75950650895572,285.32695888791216
165,2021-08-23,233.74818862166765,171.72327086239156,290.74970621049846
166,2021-08-24,232.29139268192992,167.38152740893736,293.5230264144051
167,2021-08-25,254.50594274802194,195.66618555383752,320.87134099522547
168,2021-08-26,248.42611497154968,182.84091314584475,309.19384750055406
169,2021-08-27,236.99947778345052,174.32739825058405,300.2010412680213
170,2021-08-30,236.0108922341166,174.50236039672365,298.86517565190525
171,2021-08-31,232.27581700104332,168.74093791761004,294.5543087243273
172,2021-09-01,252.60445603447363,189.281667291424,317.2461769198209
